Date/time,Location,Picture Name,Predicted NO2
2021-04-17 02:32:22.747100,"(-0.7715953588485718, -0.15868866443634033)",bergson_img_2021-04-17_02:32:00.jpg,low
2021-04-17 02:32:43.622380,"(-0.7595791220664978, -0.13200607895851135)",bergson_img_2021-04-17_02:32:22.jpg,low
2021-04-17 02:33:05.901720,"(-0.7465736269950867, -0.10474655777215958)",bergson_img_2021-04-17_02:32:43.jpg,low
2021-04-17 02:33:26.689026,"(-0.7337800860404968, -0.07937651872634888)",bergson_img_2021-04-17_02:33:05.jpg,low
2021-04-17 02:33:47.522266,"(-0.7206341624259949, -0.054628510028123856)",bergson_img_2021-04-17_02:33:26.jpg,low
2021-04-17 02:34:09.771278,"(-0.7065029144287109, -0.02935328334569931)",bergson_img_2021-04-17_02:33:47.jpg,low
2021-04-17 02:34:30.662319,"(-0.6926881670951843, -0.005832144059240818)",bergson_img_2021-04-17_02:34:09.jpg,low
2021-04-17 02:34:51.627058,"(-0.6785712838172913, 0.01711491495370865)",bergson_img_2021-04-17_02:34:30.jpg,low
2021-04-17 02:35:13.807211,"(-0.6634746789932251, 0.04055807739496231)",bergson_img_2021-04-17_02:34:51.jpg,low
2021-04-17 02:35:34.734647,"(-0.6487860083580017, 0.06238498166203499)",bergson_img_2021-04-17_02:35:13.jpg,low
2021-04-17 02:35:55.544613,"(-0.6338396668434143, 0.08369281142950058)",bergson_img_2021-04-17_02:35:34.jpg,low
2021-04-17 02:36:17.804339,"(-0.617919921875, 0.10547894239425659)",bergson_img_2021-04-17_02:35:55.jpg,low
2021-04-17 02:36:38.617212,"(-0.6024871468544006, 0.12578240036964417)",bergson_img_2021-04-17_02:36:17.jpg,low
2021-04-17 02:36:59.391457,"(-0.5868358016014099, 0.14562399685382843)",bergson_img_2021-04-17_02:36:38.jpg,low
2021-04-17 02:37:21.646197,"(-0.5702171921730042, 0.1659354269504547)",bergson_img_2021-04-17_02:36:59.jpg,low
2021-04-17 02:37:42.586433,"(-0.5541538000106812, 0.18488945066928864)",bergson_img_2021-04-17_02:37:21.jpg,low
2021-04-17 02:38:04.850608,"(-0.5371273756027222, 0.20431143045425415)",bergson_img_2021-04-17_02:37:42.jpg,low
2021-04-17 02:38:25.763114,"(-0.5206963419914246, 0.22245439887046814)",bergson_img_2021-04-17_02:38:04.jpg,low
2021-04-17 02:38:46.705786,"(-0.5041005611419678, 0.2402282953262329)",bergson_img_2021-04-17_02:38:25.jpg,low
2021-04-17 02:39:08.937007,"(-0.48654788732528687, 0.2584715485572815)",bergson_img_2021-04-17_02:38:46.jpg,low
2021-04-17 02:39:29.783852,"(-0.46964308619499207, 0.2755431830883026)",bergson_img_2021-04-17_02:39:08.jpg,low
2021-04-17 02:39:50.605295,"(-0.4526002109050751, 0.2922971546649933)",bergson_img_2021-04-17_02:39:29.jpg,low
2021-04-17 02:40:13.452464,"(-0.43378525972366333, 0.310301274061203)",bergson_img_2021-04-17_02:39:50.jpg,low
2021-04-17 02:40:34.299973,"(-0.41647854447364807, 0.32644128799438477)",bergson_img_2021-04-17_02:40:13.jpg,low
2021-04-17 02:40:55.280679,"(-0.3990573287010193, 0.3423120379447937)",bergson_img_2021-04-17_02:40:34.jpg,low
2021-04-17 02:41:17.590143,"(-0.380691260099411, 0.35866591334342957)",bergson_img_2021-04-17_02:40:55.jpg,low
2021-04-17 02:41:38.430138,"(-0.36305686831474304, 0.3740311563014984)",bergson_img_2021-04-17_02:41:17.jpg,low
2021-04-17 02:41:59.235815,"(-0.3453282415866852, 0.38917112350463867)",bergson_img_2021-04-17_02:41:38.jpg,low
2021-04-17 02:42:21.505582,"(-0.32666096091270447, 0.4048052728176117)",bergson_img_2021-04-17_02:41:59.jpg,low
2021-04-17 02:42:42.400585,"(-0.3087581694126129, 0.4195261597633362)",bergson_img_2021-04-17_02:42:21.jpg,low
2021-04-17 02:43:04.410209,"(-0.2899210751056671, 0.43475013971328735)",bergson_img_2021-04-17_02:42:42.jpg,low
2021-04-17 02:43:25.430293,"(-0.27186787128448486, 0.4491063356399536)",bergson_img_2021-04-17_02:43:04.jpg,low
2021-04-17 02:43:46.304266,"(-0.253749281167984, 0.4633033871650696)",bergson_img_2021-04-17_02:43:25.jpg,low
2021-04-17 02:44:08.537481,"(-0.23470339179039001, 0.4780189096927643)",bergson_img_2021-04-17_02:43:46.jpg,low
2021-04-17 02:44:29.383442,"(-0.2164667397737503, 0.4919273853302002)",bergson_img_2021-04-17_02:44:08.jpg,low
2021-04-17 02:44:50.197464,"(-0.19817979633808136, 0.505712628364563)",bergson_img_2021-04-17_02:44:29.jpg,low
2021-04-17 02:45:12.503435,"(-0.17897319793701172, 0.5200344920158386)",bergson_img_2021-04-17_02:44:50.jpg,low
2021-04-17 02:45:33.410763,"(-0.16059769690036774, 0.5336024165153503)",bergson_img_2021-04-17_02:45:12.jpg,low
2021-04-17 02:45:54.337202,"(-0.142185777425766, 0.5470809936523438)",bergson_img_2021-04-17_02:45:33.jpg,low
2021-04-17 02:46:16.586416,"(-0.12286274880170822, 0.5611172318458557)",bergson_img_2021-04-17_02:45:54.jpg,low
2021-04-17 02:46:37.342636,"(-0.10438970476388931, 0.5744461417198181)",bergson_img_2021-04-17_02:46:16.jpg,low
2021-04-17 02:46:58.087238,"(-0.08589324355125427, 0.5877179503440857)",bergson_img_2021-04-17_02:46:37.jpg,low
2021-04-17 02:47:20.172492,"(-0.0664953887462616, 0.6015718579292297)",bergson_img_2021-04-17_02:46:58.jpg,low
2021-04-17 02:47:40.942722,"(-0.048846565186977386, 0.6141316890716553)",bergson_img_2021-04-17_02:47:20.jpg,low
2021-04-17 02:48:02.042963,"(-0.029421333223581314, 0.627920389175415)",bergson_img_2021-04-17_02:47:40.jpg,low
2021-04-17 02:48:23.606266,"(-0.01087192352861166, 0.6410661339759827)",bergson_img_2021-04-17_02:48:02.jpg,low
2021-04-17 02:48:44.329272,"(0.007680391892790794, 0.6542064547538757)",bergson_img_2021-04-17_02:48:23.jpg,low
2021-04-17 02:49:06.618414,"(0.027114884927868843, 0.6679775714874268)",bergson_img_2021-04-17_02:48:44.jpg,low
2021-04-17 02:49:27.499053,"(0.04566061496734619, 0.6811381578445435)",bergson_img_2021-04-17_02:49:06.jpg,low
2021-04-17 02:49:48.543953,"(0.06419700384140015, 0.6943241953849792)",bergson_img_2021-04-17_02:49:27.jpg,low
2021-04-17 02:50:11.521240,"(0.08448323607444763, 0.7088071703910828)",bergson_img_2021-04-17_02:49:48.jpg,low
2021-04-17 02:50:32.515374,"(0.10298684239387512, 0.7220795154571533)",bergson_img_2021-04-17_02:50:11.jpg,low
2021-04-17 02:50:53.448448,"(0.12146841734647751, 0.7354090213775635)",bergson_img_2021-04-17_02:50:32.jpg,low
2021-04-17 02:51:15.705497,"(0.14080186188220978, 0.7494460940361023)",bergson_img_2021-04-17_02:50:53.jpg,low
2021-04-17 02:51:36.601394,"(0.15922513604164124, 0.7629256248474121)",bergson_img_2021-04-17_02:51:15.jpg,low
2021-04-17 02:51:57.446688,"(0.17761333286762238, 0.7764946818351746)",bergson_img_2021-04-17_02:51:36.jpg,low
2021-04-17 02:52:19.724795,"(0.19683469831943512, 0.7908177971839905)",bergson_img_2021-04-17_02:51:57.jpg,low
2021-04-17 02:52:40.747902,"(0.21513709425926208, 0.8046045303344727)",bergson_img_2021-04-17_02:52:19.jpg,low
2021-04-17 02:53:01.935707,"(0.23339051008224487, 0.8185146450996399)",bergson_img_2021-04-17_02:52:40.jpg,low
2021-04-17 02:53:23.616781,"(0.25245538353919983, 0.8332321643829346)",bergson_img_2021-04-17_02:53:01.jpg,low
2021-04-17 02:53:44.513521,"(0.2705933749675751, 0.8474314212799072)",bergson_img_2021-04-17_02:53:23.jpg,low
2021-04-17 02:54:06.805268,"(0.2895262539386749, 0.8624780774116516)",bergson_img_2021-04-17_02:53:44.jpg,low
